"ENROLLMENT ID","ENROLLMENT STATE","PROVIDER TYPE CODE","PROVIDER TYPE TEXT","NPI","MULTIPLE NPI FLAG","CCN","ASSOCIATE ID","ORGANIZATION NAME","DOING BUSINESS AS NAME","INCORPORATION DATE","INCORPORATION STATE","ORGANIZATION TYPE STRUCTURE","ORGANIZATION OTHER TYPE TEXT","PROPRIETARY_NONPROFIT","ADDRESS LINE 1","ADDRESS LINE 2","CITY","STATE","ZIP CODE","TELEPHONE NUMBER"
O20021207000004,FL,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1811947245,N,101938,9931017126,FLORIDA COMMUNITY HEALTH CENTERS INC,ST. LUCIE WOMEN AND CHILDREN,06/14/1976,FL,CORPORATION,,N,1871 SE TIFFANY AVE,STE 200,PORT ST LUCIE,FL,349527585,7723374000
O20021207000005,CA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1003900101,N,551918,0840108031,MARIN COMMUNITY CLINIC,MARIN COMMUNITY CLINICS,02/07/1974,CA,CORPORATION,,N,6100 REDWOOD BLVD,,NOVATO,CA,949454501,4157983133
O20021210000011,CT,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1992750855,N,071819,3870401078,"CHARTER OAK HEALTH CENTER, INC",,05/22/2002,CT,CORPORATION,,N,21 GRAND ST,,HARTFORD,CT,061061541,8605507500
O20021212000008,OK,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1134138720,N,371831,7315855541,KIAMICHI FAMILY MEDICAL CENTER INC.,"KIAMICHI FAMILY MEDICAL CENTER, INC",01/08/2002,OK,CORPORATION,,N,6026 BATTIEST PICKENS RD,,BROKEN BOW,OK,74728,5804472910
O20021216000016,IL,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1992784300,N,141933,4486562527,COMMUNITY HEALTH CENTERS OF SOUTHEASTERN IOWA INC,,11/29/2001,IA,CORPORATION,,N,951 BROADWAY ST,,HAMILTON,IL,623411436,2178472112
O20021216000023,IA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1558340968,N,161816,4486562527,COMMUNITY HEALTH CENTERS OF SOUTHEASTERN IOWA INC,,11/29/2001,IA,CORPORATION,,N,400 N 17TH ST,,KEOKUK,IA,526323452,3195245734
O20021217000029,AR,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1780645481,N,041847,2567370620,ARCARE,ARCARE 85,,,CORPORATION,,N,1511 HIGHWAY 25B,,HEBER SPRINGS,AR,725431701,5013629426
O20021218000009,VT,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1649236225,N,471810,2860300936,NORTHERN COUNTIES HEALTH CARE INC,THREE RIVERS COMM. COUNSELING SVS.,08/17/1976,VT,CORPORATION,,N,165 SHERMAN DR,,SAINT JOHNSBURY,VT,058199811,8027489405
O20021218000010,VT,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1851418230,N,471808,2860300936,NORTHERN COUNTIES HEALTH CARE INC,ST. JOHNSBURY COMMUNITY HEALTH CENTER,09/19/1976,VT,CORPORATION,,N,185 SHERMAN DR,,SAINT JOHNSBURY,VT,058199811,8027485041
O20021218000023,MO,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1508867508,N,261807,7911815097,FAMILY CARE HEALTH CENTERS,FAMILY CARE HEALTH CENTERS,11/12/1991,MO,CORPORATION,,N,401 HOLLY HILLS AVE,,SAINT LOUIS,MO,631112410,3143535190
O20021220000010,OR,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1083633184,N,381848,5395653497,MOSAIC COMMUNITY HEALTH,MOSAIC MEDICAL,10/17/2001,OR,CORPORATION,,N,375 NW BEAVER ST,STE 101,PRINEVILLE,OR,977541802,5413833005
O20021223000007,VA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1982817706,N,491849,0648188755,SOUTHERN DOMINION HEALTH SYSTEM INC,EMPORIA MEDICAL CENTER,01/01/1985,VA,CORPORATION,,N,510 N MAIN ST,,EMPORIA,VA,238471236,4346347723
O20021230000014,WV,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1649250309,N,511807,9931017969,"VALLEY HEALTH SYSTEMS, INC",VALLEY HEALTH HARTS HEALTH CENTER,04/01/1975,WV,CORPORATION,,N,22 FLEMING DR,,HARTS,WV,255249788,3048554595
O20021230000015,WV,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1699740472,N,511808,9931017969,"VALLEY HEALTH SYSTEMS, INC",VALLEY HEALTH UPPER KANAWHA,,,CORPORATION,,N,408 ALEXANDER ST,,CEDAR GROVE,WV,25039,3045951770
O20021230000016,WV,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1528038577,N,511809,9931017969,"VALLEY HEALTH SYSTEMS, INC",VALLEY HEALTH WAYNE,,,CORPORATION,,N,42 MCGINNIS DR,,WAYNE,WV,255709553,3042725136
O20030102000004,NC,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1871589762,N,341851,3577471697,ADVANCE COMMUNITY HEALTH INC,ADVANCE COMMUNITY HEALTH,04/11/1972,NC,CORPORATION,,N,1011 ROCK QUARRY RD,,RALEIGH,NC,276103825,9198333111
O20030102000015,CA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1598858169,N,551917,9436067485,OPEN DOOR COMMUNITY HEALTH CENTERS,MCKINLEYVILLE COMMUNITY HEALTH CENTER,01/18/1971,CA,CORPORATION,,N,1644 CENTRAL AVE,STE F,MCKINLEYVILLE,CA,955194342,7078393068
O20030103000010,MO,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1053433920,N,261865,7113835174,NORTHWEST HEALTH SERVICES INC,CAINSVILLE MEDICAL CLINIC,05/01/1983,MO,CORPORATION,,N,707 VICTORY LN,,CAINSVILLE,MO,646329506,8163074893
O20030106000006,AR,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1760443469,N,041849,2567370620,ARCARE,ARCARE 55,02/06/1986,AR,CORPORATION,,N,1530N CHURCH ST,,JONESBORO,AR,724011515,8708023590
O20030107000010,VA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1972631661,N,491822,0345158432,CENTRAL VIRGINIA HEALTH SERVICES INC,KING WILLIAM DAWN COMMUNITY DOCTORS,06/15/1970,VA,CORPORATION,,N,11814 KING WILLIAM RD,,AYLETT,VA,230094103,8047693022
O20030108000007,MD,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1457301939,N,211828,9335057355,TRI-STATE COMMUNITY HEALTH CENTER INC,TRI-STATE COMMUNITY HEALTH CENTER,05/18/1987,MD,CORPORATION,,N,621 KELLY RD,,CUMBERLAND,MD,215022878,3017223270
O20030108000022,VA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1952434383,N,491809,4880502707,SOUTHWEST VIRGINIA COMMUNITY HEALTH SYSTEMS INC,SALTVILLE MEDICAL CENTER,08/07/2001,VA,CORPORATION,,N,308 W MAIN ST,,SALTVILLE,VA,243703112,2764964433
O20030108000029,PA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1538166905,N,391851,5496663312,KEYSTONE RURAL HEALTH CENTER,KEYSTONE FAMILY PRACTICE,03/18/1987,PA,CORPORATION,,N,820 FIFTH AVENUE,,CHAMBERSBURG,PA,172014219,7177097999
O20030109000017,TX,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1649265646,N,451942,4284542127,BRAZOS VALLEY COMMUNITY ACTION AGENCY INC,HEALTHPOINT,02/17/1972,TX,CORPORATION,,N,3370 S TEXAS AVE,,BRYAN,TX,778023127,9795951700
O20030110000001,MO,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1144280132,N,261863,6103734058,RURAL ALLIANCE FOR BETTER FAMILY HEALTH,SOUTHERN MISSOURI COMMUNITY HEALTH CENTER,06/29/2001,MO,CORPORATION,,N,1137 INDEPENDENCE DR,,WEST PLAINS,MO,657754221,41725584641106
O20030110000006,AR,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1467543892,N,041848,3870401722,"BOSTON MOUNTAIN RURAL HEALTH CENTER, INC",,05/21/1992,AR,CORPORATION,,N,934 N. GASKILL ST.,,HUNTSVILLE,AR,727402740,4797385500
O20030115000003,MI,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1720152275,N,231886,1254249196,HAMILTON COMMUNITY HEALTH NETWORK INC,GENESEE COUNTY HEALTH DEPT.-BURTON,04/02/1982,MI,CORPORATION,,N,G3375 S SAGINAW,,BURTON,MI,485291244,8107436830
O20030124000004,MS,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1649371477,N,251903,9032027834,"GREATER MERIDIAN HEALTH CLINIC, INC.",GREATER MERIDIAN HEALTH CLINIC MOBILE UNIT,10/01/1986,MS,CORPORATION,,N,2701 DAVIS ST,,MERIDIAN,MS,393015708,6016930118
O20030124000009,AL,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1104973353,N,011920,4082522883,"NORTHEAST ALABAMA HEALTH SERVICES, INC.",FYFFE,11/28/1978,AL,CORPORATION,,N,34617 AL HIGHWAY 75,,FYFFE,AL,359713488,2566235242
O20030129000019,MS,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1508057076,N,251902,6608783295,"DELTA HEALTH CENTER, INC.",,01/27/1972,MS,CORPORATION,,N,1414 HOSPITAL STREET,,GREENVILLE,MS,387033217,6623353991
O20030131000001,NM,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1265425425,N,321888,4587572250,HIDALGO MEDICAL SERVICES,HMS MED SQUARE CLINIC,01/30/1980,NM,OTHER,FQHC & 501(C) 3,N,114 W 11TH ST,,SILVER CITY,NM,880615124,5753881511
O20030131000002,NM,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1073506911,N,321889,4587572250,HIDALGO MEDICAL SERVICES,HMS,01/31/1980,NM,CORPORATION,,N,1107 TOM FOY BLVD,,BAYARD,NM,880239648,5755375069
O20030131000014,OR,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1447332994,N,381851,7012825797,NORTHWEST HUMAN SERVICES INC,TOTAL HEALTH COMMUNITY CLINIC,03/09/1982,OR,CORPORATION,,N,180 ATWATER ST N,,MONMOUTH,OR,973611801,5036063288
O20030131000018,OR,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1790865798,N,381850,7012825797,NORTHWEST HUMAN SERVICES INC,HOMELESS OUTREACH AND ADVOCACY PROJECT,,,CORPORATION,,N,694 CHURCH ST NE,,SALEM,OR,973012401,5035885827
O20030131000037,NM,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1073775326,N,321891,7315854049,"FIRST CHOICE COMMUNITY HEALTHCARE, INC.",FIRST CHOICE COMMUNITY HEALTHCARE,05/06/1976,NM,CORPORATION,,N,2300 ARENAL RD SW,,ALBUQUERQUE,NM,871054160,5052415182
O20030203000010,IA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1124177407,N,161818,8426966755,PRIMARY HEALTH CARE INC,PRIMARY HEALTH CARE-EAST SIDE CLINIC,12/13/1989,IA,CORPORATION,,N,3509 E 29TH ST,,DES MOINES,IA,503174253,5152481600
O20030205000003,NC,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1821192865,N,341865,3476462102,PIEDMONT HEALTH SERVICES INC,SILER CITY COMMUNITY HEALTH CENTER,03/11/1970,NC,CORPORATION,,N,224 S 10TH AVE,,SILER CITY,NC,273442779,9196631744
O20030207000000,NM,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1801889878,N,321890,4587572250,HIDALGO MEDICAL SERVICES,HMS - MIMBRES VALLEY CLINIC,01/30/1980,NM,CORPORATION,,N,2672 HWY 35,,SAN LORENZO,NM,88041,5758001467
O20030207000004,PA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1285699686,N,391832,8426967175,"DELAWARE VALLEY COMMUNITY HEALTH, INC.",FAIRMOUNT PRIMARY CARE CENTER,08/10/1977,PA,CORPORATION,,N,1412 FAIRMOUNT AVE,,PHILADELPHIA,PA,191302908,2152359600
O20030207000014,WV,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1356403703,N,511886,7810806577,"WIRT COUNTY HEALTH SERVICES ASSOCIATION, INC",RIVER VALLEY FAMILY CARE,07/17/1978,WV,CORPORATION,,N,606 WASHINGTON ST,,RAVENSWOOD,WV,261641730,3042731033
O20030207000029,FL,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1285644799,N,101916,3870402548,"SUNCOAST COMMUNITY HEALTH CENTERS, INC",RUSKIN HEALTH CENTER,05/01/1977,FL,CORPORATION,,N,2814 14TH AVE SE,,RUSKIN,FL,335705471,8136536100
O20030210000002,TX,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1841316288,N,451947,3072422740,"COMMUNITY HEALTH DEVELOPMENT, INC.",,05/17/1983,TX,CORPORATION,,N,700 FRIO ST,,CAMP WOOD,TX,78833,83027856043121
O20030210000012,SC,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1447382692,N,421877,1658280334,ST JAMES HEALTH AND WELLNESS INC,ST JAMES SANTEE RURAL HEALTH PROGRAM,10/01/1981,SC,CORPORATION,,N,8189 CHOPPEE RD,,GEORGETOWN,SC,294406374,8438873274
O20030210000019,NM,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1962663153,N,321892,7315854049,"FIRST CHOICE COMMUNITY HEALTHCARE, INC.",FIRST CHOICE COMMUNITY HEALTH,05/06/1976,NM,CORPORATION,,N,7 MUNICIPAL WAY,,EDGEWOOD,NM,870152980,5052813406
O20030211000008,GA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1033229059,N,111870,3274442850,MEDLINK GEORGIA INC,MEDLINK WINDER,02/29/1980,GA,CORPORATION,,N,133 W ATHENS ST,,WINDER,GA,306801786,7708676633
O20030214000018,MD,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1679790299,N,211830,0648189274,CHOPTANK COMMUNITY HEALTH SYSTEM INC,,01/20/1978,MD,CORPORATION,,N,933 S TALBOT ST,UNIT 4,ST MICHAELS,MD,216632605,4107450200
O20030214000039,PA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1114940582,N,391825,8426967175,"DELAWARE VALLEY COMMUNITY HEALTH, INC.",MARIA DE LOS SANTOS HEALTH CENTER,08/10/1977,PA,CORPORATION,,N,401- 55 WEST ALLEGHENY AVENUE,,PHILADELPHIA,PA,191333644,2152912500
O20030214000043,PA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1174545115,N,391901,8426967175,"DELAWARE VALLEY COMMUNITY HEALTH, INC.",NORRISTOWN REGIONAL HEALTH CENTER,08/10/1977,PA,CORPORATION,,N,1401 DEKALB ST,,NORRISTOWN,PA,194013405,6102787787
O20030217000008,OH,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1598930877,N,361885,9234047853,LORAIN COUNTY HEALTH & DENTISTRY,,01/30/2001,OH,CORPORATION,,N,3745 GROVE AVE,,LORAIN,OH,440552734,4402401655
O20030217000020,OH,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1841238417,N,361884,9234047853,LORAIN COUNTY HEALTH & DENTISTRY,,01/30/2001,OH,CORPORATION,,N,1205 BROADWAY AVE,,LORAIN,OH,440523409,4402401655
O20030218000002,ND,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1457435802,N,351804,1557270113,NORTHLAND HEALTH PARTNERS COMMUNITY HEALTH CENTER,NORTHLAND HEALTH CENTERS,11/13/2002,ND,CORPORATION,,N,416 KUNDERT ST,,TURTLE LAKE,ND,585754205,7014489225
O20030219000001,CA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1336208255,N,551927,8729997390,"ASIAN PACIFIC HEALTH CARE VENTURE, INC.",,10/07/1987,CA,CORPORATION,,N,1530 HILLHURST AVE,,LOS ANGELES,CA,900275516,3236443888
O20030219000009,MS,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1598822421,N,251914,2567371032,"G A CARMICHAEL FAMILY HEALTH CENTER, INC.",,04/18/1973,MS,CORPORATION,,N,1835 SCHOOL DR,,YAZOO CITY,MS,391942676,6018595213
O20030219000011,ME,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1265460794,N,201835,9638088115,ISLANDS COMMUNITY MEDICAL SERVICES INC,,06/19/1946,ME,CORPORATION,,N,15 MEDICAL CENTER LOOP,,VINALHAVEN,ME,048634119,2078634341
O20030221000010,WV,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1174725188,N,511887,3173432671,MONROE COUNTY HEALTH CENTER BOARD OF TRUSTEES,MONROE HEALTH CENTER-PETERSTOWN,01/01/2003,WV,OTHER,NOT FOR PROFIT,N,2869 SENECA TRL S,,PETERSTOWN,WV,249635037,3047534336
O20030221000017,DE,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1770699621,N,081801,8426967928,SOUTHBRIDGE MEDICAL ADVISORY COUNCIL INC,HENRIETTA JOHNSON MEDICAL CENTER,06/06/1969,DE,CORPORATION,,N,601 NEW CASTLE AVE,,WILMINGTON,DE,198015821,3026556187
O20030226000003,TX,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1881021541,N,451949,8921916552,"NUESTRA CLINICA DEL VALLE, INC.",,11/19/1971,TX,CORPORATION,,N,105 S 10TH ST,,DONNA,TX,785373201,9564645809
O20030226000011,NY,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1851414965,N,331909,2163331620,"HERITAGE HEALTH AND HOUSING, INC.",HERITAGE HEALTH CARE,11/14/1969,NY,CORPORATION,,N,1727 AMSTERDAM AVE,FL 4,NEW YORK,NY,100314611,2128620054
O20030228000000,KS,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1669474425,N,171820,7911816392,COMMUNITY HEALTH CENTER OF SOUTHEAST KANSAS INC,COMM. HLTH. CNTR. OF SE KANSAS,11/20/2001,KS,CORPORATION,,N,3011 N MICHIGAN ST,,PITTSBURG,KS,667622546,6202319873
O20030304000006,AR,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1194922849,N,041851,5193634509,"JEFFERSON COMPREHENSIVE CARE SYSTEM, INC",,11/30/1972,AR,OTHER,501(C)(3),N,1100 N UNIVERSITY AVE,STE 125,LITTLE ROCK,AR,722076356,5016630055
O20030304000015,MS,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1912905993,N,251918,1153230560,AARON E HENRY COMMUNITY HEALTH,TUNICA ROSA FORT SCHOOL BASED CLINIC,04/27/1979,MS,CORPORATION,,N,1100 ROSA FORT DRIVE,,TUNICA,MS,386761823,6623633971
O20030305000021,MS,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1033276027,N,251915,2567371032,"G A CARMICHAEL FAMILY HEALTH CENTER, INC.",,04/18/1973,MS,CORPORATION,,N,3439 VAUGHAN ROAD,,VAUGHAN,MS,39194,6018595213
O20030305000031,MS,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1548327463,N,251913,2567371032,"G A CARMICHAEL FAMILY HEALTH CENTER, INC.",,04/01/1973,MS,CORPORATION,,N,6789 HIGHWAY 49 FRONTAGE RD,,YAZOO CITY,MS,391944476,6627466200
O20030307000000,TN,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1356531610,N,441873,5799694147,HARDEMAN COUNTY COMMUNITY HEALTH CENTER,,04/01/1992,TN,CORPORATION,,N,17 FIRST STREET EAST,,STANTON,TN,380694426,7315482232
O20030307000014,CA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1396852455,N,551935,2769390939,"NORTH COUNTY HEALTH PROJECT, INC.",TRUECARE,03/07/1973,CA,CORPORATION,,N,2210 MESA DR,STES 5 AND 7,OCEANSIDE,CA,920543756,7607366700
O20030307000027,NY,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1073886131,Y,331913,9234048588,THE INSTITUTE FOR FAMILY HEALTH,,04/25/1985,NY,CORPORATION,,N,130 W TREMONT AVE,,BRONX,NY,104535436,7185839000
O20030307000029,NY,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1053685289,Y,331910,9234048588,THE INSTITUTE FOR FAMILY HEALTH,WALTON FAMILY HEALTH CENTER,04/25/1985,NY,CORPORATION,,N,1894 WALTON AVE,,BRONX,NY,104536018,7185833060
O20030307000033,NY,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1295729408,Y,331915,9234048588,THE INSTITUTE FOR FAMILY HEALTH,SIDNEY HILLMAN AND PHILLIPS FAMILY PRACTICE CENTER,,,CORPORATION,,N,16 E 16TH ST,,NEW YORK,NY,100033105,2122065200
O20030307000043,NY,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1740553841,Y,331911,9234048588,THE INSTITUTE FOR FAMILY HEALTH,,,,CORPORATION,,N,50-98 EAST 168TH ST,,BRONX,NY,104527929,7182933900
O20030307000051,PA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1609091578,N,391926,7012826373,NORTH SIDE CHRISTIAN HEALTH CENTER,,07/29/1993,PA,CORPORATION,,N,816 MIDDLE ST,,PITTSBURGH,PA,152124915,4123214001
O20030307000054,CA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1639185317,N,551932,2769390939,"NORTH COUNTY HEALTH PROJECT, INC.",TRUECARE,03/07/1973,CA,CORPORATION,,N,605 CROUCH ST,BLDG C,OCEANSIDE,CA,920544415,7607574566
